Kecamatan;Kelurahan;latitude;longitude;street_name;search_query;gmaps_link;location_name_maps;location_name_structured
Paringin Selatan;Lingsir;-2.3516766;115.4389252;JFXF+8XH, Lingsir, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Lingsir Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.3516766,115.4389252;Kantor Kelurahan Batu Piring;Gedung_Kelurahan_Lingsir
Paringin Selatan;Halubau Utara;-2.338149;115.4014227;MC6P+PXX, Unnamed Road, Murung Jambu, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Halubau Utara Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-2.338149,115.4014227;Kantor Kepala Desa Halubau Utara;Gedung_Kelurahan_Halubau_Utara
Paringin Selatan;Tarangan;-3.32;115.44;MC8M+X2W, Tarangan, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Tarangan Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Tarangan;Gedung_Kelurahan_Tarangan
Paringin Selatan;Batu Piring;-3.32;115.44;JFXF+8XH, Lingsir, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Batu Piring Paringin Selatan, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kelurahan Batu Piring;Gedung_Kelurahan_Batu_Piring
Wanaraya;Tumih;-3.32;115.44;WHFQ+RGX, Tumih, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Tumih Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kepala Desa Tumih;Gedung_Kelurahan_Tumih
Wanaraya;Roham Raya;-3.0564524;114.5678443;WJV3+CH6, Roham Raya, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Roham Raya Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.0564524,114.5678443;Kantor Desa Roham Raya;Gedung_Kelurahan_Roham_Raya
Wanaraya;Belawang Kolam Kiri;-3.0606055;114.579297;WJQ7+PW8, Belawang Kolam Kiri, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Belawang Kolam Kiri Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.0606055,114.579297;Kantor desa kolam kiri;Gedung_Kelurahan_Belawang_Kolam_Kiri
Wanaraya;Babat Raya;-3.0283913;114.5823287;;Kantor Kelurahan Babat Raya Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.0283913,114.5823287;Babat Raya;Gedung_Kelurahan_Babat_Raya
Wanaraya;Belawang Kolam Kanan;-3.0144684;114.5923567;XJPH+696, RT.005/RW.001, Belawang Kolam Kanan, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Belawang Kolam Kanan Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.0144684,114.5923567;Kantor Desa Kolam Kanan Kecamatan Wanaraya Kabupaten Barito Kuala Kaliman Selatan;Gedung_Kelurahan_Belawang_Kolam_Kanan
Wanaraya;Sido Mulyo;-3.32;115.44;Jl. Sidomulyo, Sido Mulyo, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Sido Mulyo Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Sidomulyo;Gedung_Kelurahan_Sido_Mulyo
Wanaraya;Kolam Makmur;-3.0356873;114.5515787;XH7Q+W3, Kolam Makmur, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Kolam Makmur Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.0356873,114.5515787;kolam makmur;Gedung_Kelurahan_Kolam_Makmur
Wanaraya;Simpang Jaya;-3.32;115.44;RT 07, Provinsi Kalimantan Sel., Simpang Jaya, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Simpang Jaya Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Simpang Jaya;Gedung_Kelurahan_Simpang_Jaya
Wanaraya;Waringin Kencana;-3.32;115.44;XG2W+M49, Waringin Kencana, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Waringin Kencana Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Waringin Kencana;Gedung_Kelurahan_Waringin_Kencana
Wanaraya;Pinang Habang;-3.32;115.44;XG3X+536, Unnamed Road, Pinang Habang, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Pinang Habang Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Pinang Habang;Gedung_Kelurahan_Pinang_Habang
Wanaraya;Surya Kanta;-3.32;115.44;Jalan Utama, Surya Kanta, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Surya Kanta Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Balai Desa Surya Kanta;Gedung_Kelurahan_Surya_Kanta
Wanaraya;Sumber Rahayu;-3.32;115.44;2G5J+PFW, Sumber Rahayu, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Sumber Rahayu Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Sumber Rahayu;Gedung_Kelurahan_Sumber_Rahayu
Wanaraya;Dwi Pasari;-3.32;115.44;2HH5+5R8, Unnamed Road, Dwi Pasari, Kec. Wanaraya, Kabupaten Barito Kuala, Kalimantan Selatan 70562;Kantor Kelurahan Dwi Pasari Wanaraya, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Dwipasari;Gedung_Kelurahan_Dwi_Pasari
Astambul;Pingaran Ilir;-3.3719954;114.8833736;;Kantor Kelurahan Pingaran Ilir Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3719954,114.8833736;Pingaran Ilir;Gedung_Kelurahan_Pingaran_Ilir
Astambul;Pingaran Ulu;-3.3891875;114.8761386;JW66+8V, pingaran ulu, Kec. Martapura, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Pingaran Ulu Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3891875,114.8761386;KANTOR DESA PINGARAN ULU;Gedung_Kelurahan_Pingaran_Ulu
Astambul;Banua Anyar Danau Salak;-3.3459683;114.9090047;MW3W+J27, Astambul Seberang, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Banua Anyar Danau Salak Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3459683,114.9090047;Kantor Desa Banua Anyar Danau Salak;Gedung_Kelurahan_Banua_Anyar_Danau_Salak
Astambul;Astambul Seberang;-3.3805542;114.863624;JV9X+QVF, Astambul Kota, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Astambul Seberang Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3805542,114.863624;Kantor Desa Astambul Kota;Gedung_Kelurahan_Astambul_Seberang
Astambul;Astambul Kota;-3.3805542;114.863624;JV9X+QVF, Astambul Kota, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Astambul Kota Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3805542,114.863624;Kantor Desa Astambul Kota;Gedung_Kelurahan_Astambul_Kota
Astambul;Jati Baru;-3.32;115.44;Desa, jati baru, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Jati Baru Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Pembakal Desa Jati Baru, Astambul;Gedung_Kelurahan_Jati_Baru
Astambul;Danau Salak;-3.3170248;114.9188501;Danau Salak adalah salah satu desa di Kecamatan Astambul, Kabupaten Banjar, Provinsi Kalimantan Selatan, Indonesia. Desa ini berjarak 55 km dari Banja...Lainnya;Kantor Kelurahan Danau Salak Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3170248,114.9188501;Danau Salak;Gedung_Kelurahan_Danau_Salak
Astambul;Pasar Jati;-3.3644573;114.8800964;JWP8+6F6, Pingaran Ilir, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Pasar Jati Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3644573,114.8800964;Balai desa pasar jati;Gedung_Kelurahan_Pasar_Jati
Astambul;Sungai Alat;-3.3174842;114.8855007;;Kantor Kelurahan Sungai Alat Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3174842,114.8855007;Sungai Alat;Gedung_Kelurahan_Sungai_Alat
Astambul;Sungai Tuan Ulu;-3.3367734;114.8695826;;Kantor Kelurahan Sungai Tuan Ulu Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3367734,114.8695826;Sungai Tuan Ulu;Gedung_Kelurahan_Sungai_Tuan_Ulu
Astambul;Sungai Tuan Ilir;-3.3725497;114.8433602;Sungai Tuan Ilir, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70671;Kantor Kelurahan Sungai Tuan Ilir Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3725497,114.8433602;Balai Desa Sungai Tuan Ilir;Gedung_Kelurahan_Sungai_Tuan_Ilir
Astambul;Banua Anyar Sungai Tuan;-3.3067161;114.5725853;MJV5+8F6, Benua Anyar, Kec. Banjarmasin Tim., Kota Banjarmasin, Kalimantan Selatan 70122;Kantor Kelurahan Banua Anyar Sungai Tuan Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3067161,114.5725853;Kantor Kelurahan Benua Anyar;Gedung_Kelurahan_Banua_Anyar_Sungai_Tuan
Astambul;Tambangan;-3.3434063;114.8410931;;Kantor Kelurahan Tambangan Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.3434063,114.8410931;Tambangan;Gedung_Kelurahan_Tambangan
Astambul;Kelampaian Ilir;-3.32;115.44;JVH5+P6G, Kelampaian Ilir, Kec. Astambul, Kabupaten Banjar, Kalimantan Selatan 70617;Kantor Kelurahan Kelampaian Ilir Astambul, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Kelampaian Ilir;Gedung_Kelurahan_Kelampaian_Ilir
